latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
14.266,104.627,324.9,2.4,1.5,2019-01-22,0310,T,79,6.0NRT,296.2,48.7,D
13.791,108.433,317.6,1.3,1.1,2019-01-22,0310,T,65,6.0NRT,292.6,14.6,D
14.271,104.622,318.3,2.4,1.5,2019-01-22,0310,T,70,6.0NRT,296,26.7,D
14.268,104.644,315.8,2.4,1.5,2019-01-22,0310,T,63,6.0NRT,296.3,18.4,D
14.151,105.286,315.3,2.1,1.4,2019-01-22,0310,T,42,6.0NRT,295.8,21.9,D
13.965,106.698,315.1,1.7,1.3,2019-01-22,0310,T,45,6.0NRT,297.2,14.8,D
13.866,106.937,316.7,1.6,1.2,2019-01-22,0310,T,64,6.0NRT,297.1,17.2,D
14.098,104.504,319.4,2.5,1.5,2019-01-22,0310,T,71,6.0NRT,291.8,37.2,D
14.096,104.526,337.8,2.4,1.5,2019-01-22,0310,T,88,6.0NRT,294.4,120.7,D
13.991,105.619,316.2,2,1.4,2019-01-22,0310,T,56,6.0NRT,298.6,14.4,D
14.101,104.521,341.3,2.4,1.5,2019-01-22,0310,T,91,6.0NRT,294.2,142.1,D
13.821,106.759,319,1.6,1.3,2019-01-22,0310,T,53,6.0NRT,299.6,18.4,D
13.971,105.27,321.6,2.1,1.4,2019-01-22,0310,T,63,6.0NRT,299.4,32,D
14.007,104.77,318.1,2.3,1.5,2019-01-22,0310,T,60,6.0NRT,299.2,20,D
13.876,105.409,315.1,2.1,1.4,2019-01-22,0310,T,61,6.0NRT,298.4,14.4,D
13.806,105.458,318.7,2.1,1.4,2019-01-22,0310,T,51,6.0NRT,299.9,15.3,D
13.817,105.453,319.2,2.1,1.4,2019-01-22,0310,T,62,6.0NRT,300.9,17.6,D
13.863,104.98,317.5,2.2,1.4,2019-01-22,0310,T,65,6.0NRT,298.8,20.1,D
13.789,105.155,320.5,2.2,1.4,2019-01-22,0310,T,71,6.0NRT,299.5,26.7,D
13.787,105.175,322.1,2.2,1.4,2019-01-22,0310,T,73,6.0NRT,298.1,30.1,D
13.704,105.861,318.6,1.9,1.3,2019-01-22,0310,T,63,6.0NRT,298.5,20.4,D
13.548,106.565,329.8,1.7,1.3,2019-01-22,0310,T,70,6.0NRT,298.8,37.2,D
13.689,105.014,322.2,2.2,1.4,2019-01-22,0310,T,73,6.0NRT,294.7,39.8,D
