latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
10.53936,105.9366,330.3,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,302.2,2.6,D
10.54716,105.93955,352,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,302.8,7.9,D
10.54585,105.9313,346.9,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301,13.2,D
10.55073,105.93896,338.3,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303,7.7,D
10.54942,105.9398,344,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303.1,10.2,D
10.54874,105.93568,333.6,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.8,9.4,D
10.54807,105.93156,341.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.7,9.4,D
10.56235,105.92922,345,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,299.8,5.3,D
10.58669,105.98854,335.8,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,299.6,3.7,D
10.55287,105.78138,344,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,299.2,7.1,D
10.89403,107.87747,332.7,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,302.5,2.5,D
10.57388,105.84225,333.4,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.1,5.3,D
10.54854,105.68695,332.6,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.5,3.1,D
10.54785,105.68272,333.2,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300,3.1,D
10.59093,105.92454,332,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,299.5,5.1,D
10.57678,105.83749,333.8,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.5,4.2,D
10.55905,105.72859,342.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.2,7.2,D
10.56676,105.75325,333.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.3,1.9,D
10.5889,105.84406,332.4,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.8,2.8,D
10.58166,105.77665,332.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.1,3.7,D
10.59561,105.81728,338.1,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.7,4.3,D
10.59494,105.8131,337.9,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.3,4.3,D
10.59921,105.81669,337.6,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.2,4.3,D
10.59853,105.81252,336.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.4,4.3,D
10.5845,105.70273,339.7,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.5,4.5,D
10.58947,105.71059,337.8,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,302.1,5.3,D
10.58195,105.66403,345.4,0.47,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.9,10.5,D
10.622,105.88972,331.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.9,2.6,D
10.62823,105.90569,332.8,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.8,2.5,D
10.59669,105.70939,334.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.4,4.1,D
10.63736,105.9169,334.8,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303.1,8.8,D
10.6367,105.91277,337.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.7,5.7,D
10.65071,105.93163,340.1,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.3,7.5,D
10.68219,106.10661,331.2,0.44,0.39,2019-01-22,0600,N,nominal,1.0NRT,297.5,3.6,D
10.62162,105.632,346.8,0.47,0.39,2019-01-22,0600,N,nominal,1.0NRT,304,14,D
10.62747,105.6223,330.1,0.47,0.39,2019-01-22,0600,N,low,1.0NRT,303.3,4.8,D
11.0209,107.99883,337.9,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,304.3,4.2,D
10.66339,105.75084,333,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,302,4.6,D
10.64349,105.60653,341.5,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,299.7,6.1,D
10.6699,105.74546,334.9,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,304.3,12.2,D
10.67866,105.73108,332,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.9,2.9,D
10.61875,105.27145,330.1,0.49,0.4,2019-01-22,0600,N,nominal,1.0NRT,299.9,3.2,D
10.69802,105.73651,347.6,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,304.8,16.6,D
10.69734,105.73232,331.2,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.8,5.4,D
10.69463,105.71549,335.4,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,302,3.4,D
10.80068,106.35377,340.7,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,302.7,14,D
10.87635,106.43897,336,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,303.6,3.8,D
10.79889,105.48122,334.6,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,302.5,7,D
11.2263,108.14711,336.8,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,296.2,2.3,D
10.79788,105.47769,335.7,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,302.8,5.4,D
10.58676,104.0167,340.1,0.57,0.43,2019-01-22,0600,N,nominal,1.0NRT,300.6,6.6,D
10.77151,104.92924,334.4,0.5,0.41,2019-01-22,0600,N,nominal,1.0NRT,300.1,5.4,D
11.20057,107.45186,334.2,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,301.3,3,D
11.2482,107.48096,333,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,301.1,5.5,D
11.12464,106.34637,336.8,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,302.6,1.9,D
11.12401,106.34244,336.3,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,300.4,1.9,D
11.284,107.17973,330.4,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,298.9,2.6,D
11.15702,106.32494,336.2,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,300.3,5,D
11.15768,106.3249,337.3,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,300.6,6.1,D
10.83651,104.28259,333.1,0.55,0.42,2019-01-22,0600,N,nominal,1.0NRT,300.7,3.4,D
10.78493,103.69011,339.4,0.4,0.44,2019-01-22,0600,N,nominal,1.0NRT,297.5,4.8,D
10.78246,103.67546,340.6,0.4,0.44,2019-01-22,0600,N,nominal,1.0NRT,293.5,4.8,D
10.95559,104.13075,336,0.56,0.43,2019-01-22,0600,N,nominal,1.0NRT,295.5,5.6,D
10.9733,104.16414,335.8,0.55,0.43,2019-01-22,0600,N,nominal,1.0NRT,302.4,34,D
11.51291,107.32616,342.1,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,298.1,3.3,D
11.3421,105.99351,334.5,0.44,0.38,2019-01-22,0600,N,low,1.0NRT,304.9,3,D
11.67878,107.72166,332.5,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,294.9,2.5,D
11.13423,104.31386,330.6,0.54,0.42,2019-01-22,0600,N,low,1.0NRT,301.3,4,D
11.15946,104.29225,333,0.54,0.42,2019-01-22,0600,N,nominal,1.0NRT,299.1,4.1,D
11.20224,104.30973,338.3,0.54,0.42,2019-01-22,0600,N,nominal,1.0NRT,304.2,4.1,D
11.78162,107.81789,332.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,294.4,6.3,D
13.45625,120.36476,336.3,0.56,0.69,2019-01-22,0600,N,nominal,1.0NRT,299.5,6.3,D
11.16947,103.82397,333.3,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,298.9,10.2,D
11.16888,103.82044,356.7,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,304.3,10.2,D
11.16829,103.81693,338,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,297.8,5.9,D
11.17287,103.81976,347.1,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,300.9,13,D
11.17228,103.81623,340.1,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,297,7.3,D
11.21363,104.0949,335.2,0.55,0.43,2019-01-22,0600,N,nominal,1.0NRT,298.7,4.9,D
11.17394,103.81862,345,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,299.7,9.4,D
13.45712,120.36573,328.5,0.57,0.69,2019-01-22,0600,N,low,1.0NRT,299.1,9.7,D
11.64452,106.45747,336,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,300,3.3,D
11.30034,104.34508,333.9,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,302,3.2,D
11.22702,103.81705,344.4,0.38,0.43,2019-01-22,0600,N,nominal,1.0NRT,297,9.6,D
11.51656,105.46455,333.4,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,303.2,1.3,D
11.64824,106.16885,333.3,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,301.8,2.7,D
11.24572,103.70844,334,0.39,0.44,2019-01-22,0600,N,nominal,1.0NRT,295.3,3.3,D
11.71238,106.43849,332.9,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,297.8,1.7,D
11.71583,106.43793,330.3,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,298.6,1.7,D
11.71455,106.43822,334.5,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,298.7,4.5,D
11.9778,108.08306,331.9,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,297.2,4.1,D
11.53107,105.2559,336.2,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,302.5,2.6,D
11.35972,104.0547,334.7,0.55,0.43,2019-01-22,0600,N,nominal,1.0NRT,295.9,4.2,D
11.61574,105.56568,333.7,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,304.1,2.6,D
11.57673,105.32812,341.1,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,305.2,7.1,D
11.20756,103.11965,337.5,0.42,0.45,2019-01-22,0600,N,nominal,1.0NRT,296.4,2.5,D
12.01699,107.82997,334.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,294.3,9.9,D
12.01644,107.82642,333.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,293.9,9.8,D
11.66288,105.58359,330.2,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,305.2,2.9,D
12.02031,107.82944,334,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,295.6,9.9,D
12.01976,107.8259,329.8,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,296.2,9.8,D
11.40737,104.00211,334.7,0.56,0.43,2019-01-22,0600,N,nominal,1.0NRT,297.8,8.3,D
11.68434,105.6484,330.9,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,303.7,2.6,D
11.67161,105.56924,333.5,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,304.5,3.1,D
11.5341,104.7218,335.1,0.51,0.41,2019-01-22,0600,N,nominal,1.0NRT,303.6,3,D
11.67251,105.5519,334.2,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,302.9,2.2,D
11.50401,104.4906,331.2,0.52,0.42,2019-01-22,0600,N,low,1.0NRT,305.2,2.6,D
11.82403,106.4361,339.8,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,293.6,4.9,D
11.49039,104.35954,342.8,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,307.1,6.4,D
11.82246,106.43688,337.1,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,293.6,4,D
11.82591,106.43631,336.5,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,293.1,4,D
11.77738,106.07148,334.3,0.43,0.38,2019-01-22,0600,N,low,1.0NRT,306.9,4.7,D
11.49137,104.35709,349.8,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,305.7,4.6,D
11.49439,104.35161,334,0.53,0.42,2019-01-22,0600,N,low,1.0NRT,305.9,4.6,D
12.08041,107.73971,339.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,301.3,5.8,D
11.54313,104.38314,349.8,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,305,11.7,D
11.54232,104.3783,346.2,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,305.2,13.9,D
11.47672,103.98858,331.5,0.56,0.43,2019-01-22,0600,N,nominal,1.0NRT,296.5,4.8,D
